"var","source","n_total","n_observed","pct_observed","n_positive","n_zero","keep_obs","keep_pos","keep_zero","keep_all","status","drop_reason"
"PEDHOS","ASDB",6166,3736,0.605903340901719,1304,2432,TRUE,TRUE,TRUE,TRUE,"kept",""
"PEDICBD","ASDB",6166,3736,0.605903340901719,5,3445,TRUE,FALSE,TRUE,FALSE,"dropped","low_pos;"
"PEDICHOS","ASDB",6166,3736,0.605903340901719,338,3398,TRUE,TRUE,TRUE,TRUE,"kept",""
"PELABHOS","ASDB",6166,3736,0.605903340901719,140,3596,TRUE,TRUE,TRUE,TRUE,"kept",""
"PEMERSYS","ASDB",6166,3736,0.605903340901719,592,3144,TRUE,TRUE,TRUE,TRUE,"kept",""
"PETCTHOS","ASDB",6166,3736,0.605903340901719,904,2832,TRUE,TRUE,TRUE,TRUE,"kept",""
"PETSYS","ASDB",6166,3736,0.605903340901719,760,2976,TRUE,TRUE,TRUE,TRUE,"kept",""
"PHYSYS","ASDB",6166,378,0.0613039247486215,378,0,FALSE,TRUE,FALSE,FALSE,"dropped","low_obs;low_zero;"
"PPNSYS","ASDB",6166,3736,0.605903340901719,645,3091,TRUE,TRUE,TRUE,TRUE,"kept",""
"PPOSTSYS","ASDB",6166,3736,0.605903340901719,791,2945,TRUE,TRUE,TRUE,TRUE,"kept",""
"PSCISSYS","ASDB",6166,3736,0.605903340901719,234,3502,TRUE,TRUE,TRUE,TRUE,"kept",""
"PSPISYS","ASDB",6166,3736,0.605903340901719,758,2978,TRUE,TRUE,TRUE,TRUE,"kept",""
"PSSOCSYS","ASDB",6166,3736,0.605903340901719,636,3100,TRUE,TRUE,TRUE,TRUE,"kept",""
"PSYCASYS","ASDB",6166,3736,0.605903340901719,684,3052,TRUE,TRUE,TRUE,TRUE,"kept",""
"PSYEDHOS","ASDB",6166,3736,0.605903340901719,946,2790,TRUE,TRUE,TRUE,TRUE,"kept",""
"PSYEMSYS","ASDB",6166,3736,0.605903340901719,823,2913,TRUE,TRUE,TRUE,TRUE,"kept",""
"PSYGRSYS","ASDB",6166,3736,0.605903340901719,807,2929,TRUE,TRUE,TRUE,TRUE,"kept",""
