"var","source","n_total","n_observed","pct_observed","n_positive","n_zero"
"MAILRCV","IT",6166,2976,0.482646772624067,1116,0
"MAILSND","IT",6166,3000,0.48653908530652,939,0
"MLACCU","IT",6166,1872,0.303600389231268,879,0
"MLBIAS","IT",6166,1916,0.310736295815764,654,0
"MLDEV","IT",6166,1949,0.316088225754136,1600,349
"MLDNK","IT",6166,1949,0.316088225754136,18,1931
"MLPUBD","IT",6166,1949,0.316088225754136,84,1865
"MLSED","IT",6166,1949,0.316088225754136,978,971
"MLTHD","IT",6166,1949,0.316088225754136,1051,898
"NOCAPRCDR","IT",6166,1596,0.258838793383068,656,940
"NOCAPSCDR","IT",6166,478,0.0775218942588388,295,183
"ONBPROCDR","IT",6166,925,0.15001621796951,324,601
"OSNBHIE","IT",6166,1772,0.287382419721051,1325,447
"PEFAPIDNK","IT",6166,3087,0.500648718780409,124,2963
"PEFAPIIS","IT",6166,3087,0.500648718780409,2443,644
"PEFAPINO","IT",6166,3087,0.500648718780409,476,2611
"PEFAPIOS","IT",6166,3087,0.500648718780409,2068,1019
"PEFAPIS","IT",6166,3066,0.497242945183263,1039,2027
"PHIOUT","IT",6166,2964,0.480700616282841,1293,0
"PHRHIE","IT",6166,2903,0.470807654881609,434,2469
"PHRNES","IT",6166,2903,0.470807654881609,346,2557
"PTEFCA","IT",6166,2239,0.363120337333766,660,0
"RELINFCDR","IT",6166,520,0.0843334414531301,305,215
"SCTOOL","IT",6166,2131,0.345604930262731,861,0
"SHIEC","IT",6166,2886,0.468050600064872,162,2724
"SHSRLHIE","IT",6166,2851,0.462374310736296,41,0
"SSRHIE","IT",6166,2944,0.477457022380798,546,2398
"SSRNES","IT",6166,2944,0.477457022380798,138,2806
"VOCABCDR","IT",6166,588,0.0953616607200778,221,367
